iter	Passed	Remaining
0	5	5002
1	10	5164
2	14	4835
3	18	4680
4	23	4615
5	27	4594
6	32	4547
7	36	4560
8	41	4523
9	45	4505
10	49	4441
11	53	4433
12	57	4368
13	61	4331
14	65	4290
15	69	4247
16	72	4191
17	75	4141
18	79	4103
19	83	4075
20	86	4055
21	90	4039
22	94	4009
23	98	3997
24	102	3980
25	106	4002
26	112	4044
27	116	4056
28	122	4103
29	126	4101
30	131	4109
31	135	4088
32	138	4061
33	142	4051
34	146	4051
35	150	4040
36	155	4039
37	159	4040
38	164	4053
39	169	4068
40	173	4061
41	176	4037
42	180	4023
43	183	3997
44	187	3969
45	190	3953
46	194	3934
47	197	3923
48	201	3901
49	204	3880
50	207	3870
51	211	3853
52	216	3866
53	219	3847
54	223	3832
55	226	3816
56	230	3808
57	233	3791
58	236	3777
59	239	3759
60	242	3739
61	247	3742
62	250	3730
63	254	3715
64	257	3702
65	260	3689
66	264	3684
67	268	3678
68	271	3665
69	275	3661
70	278	3649
71	283	3658
72	288	3662
73	292	3659
74	295	3648
75	299	3640
76	302	3628
77	305	3614
78	309	3605
79	312	3595
80	315	3585
81	319	3572
82	323	3571
83	326	3561
84	330	3557
85	334	3550
86	337	3542
87	340	3533
88	344	3524
89	347	3513
90	350	3505
91	354	3495
92	357	3486
93	360	3477
94	364	3471
95	368	3465
96	371	3455
97	374	3450
98	378	3443
99	381	3433
100	384	3426
101	388	3424
102	392	3422
103	396	3418
104	400	3413
105	403	3404
106	407	3397
107	410	3387
108	413	3382
109	417	3374
110	421	3372
111	424	3367
112	428	3362
113	432	3357
114	435	3354
115	439	3346
116	442	3341
117	445	3332
118	449	3329
119	453	3325
120	456	3317
121	460	3310
122	463	3306
123	466	3298
124	470	3294
125	474	3289
126	477	3282
127	480	3274
128	484	3270
129	487	3263
130	490	3256
131	494	3250
132	497	3245
133	501	3242
134	505	3239
135	508	3232
136	512	3228
137	516	3226
138	519	3218
139	522	3210
140	525	3204
141	529	3197
142	532	3192
143	536	3186
144	539	3180
145	542	3172
146	545	3165
147	548	3158
148	552	3153
149	555	3145
150	558	3138
151	561	3129
152	564	3123
153	567	3119
154	571	3113
155	574	3107
156	578	3104
157	581	3100
158	584	3093
159	587	3086
160	590	3079
161	593	3072
162	597	3068
163	601	3065
164	605	3063
165	608	3059
166	612	3054
167	615	3050
168	619	3048
169	623	3043
170	627	3041
171	630	3035
172	633	3030
173	637	3025
174	640	3020
175	644	3015
176	647	3008
177	650	3005
178	654	2999
179	658	2999
180	662	2998
181	666	2996
182	670	2993
183	673	2988
184	677	2983
185	680	2980
186	684	2975
187	687	2970
188	690	2964
189	694	2958
190	697	2954
191	700	2948
192	705	2948
193	708	2943
194	712	2940
195	716	2937
196	720	2935
197	723	2930
198	726	2925
199	730	2921
200	733	2916
201	736	2911
202	740	2906
203	743	2900
204	746	2894
205	749	2888
206	753	2886
207	756	2881
208	760	2877
209	763	2871
210	767	2871
211	771	2868
212	774	2862
213	778	2857
214	781	2852
